measure calculation,annex,country,fishing_activity,fishing_capacity,gt_days_at_sea,no_vessels,nominal_effort,regulated area,regulated gear,specon,vessel length,year
307778,BOB,FRA,,,43645,17,307778,8A-BOB,TRAMMEL,NONE,O10T15M,2003
217376,BOB,FRA,,,22964,13,217376,8B-BOB,TRAMMEL,NONE,O10T15M,2003
16304,BOB,FRA,,,2175,2,16304,8A-BOB,BEAM,NONE,O10T15M,2004
410277,BOB,FRA,,,47159,116,410277,8A-BOB,DREDGE,NONE,O10T15M,2004
7536,BOB,FRA,,,977,8,7536,8B-BOB,DREDGE,NONE,O10T15M,2004
571937,BOB,FRA,,,67138,14,571937,8A-BOB,GILL,NONE,O10T15M,2004
168601,BOB,FRA,,,24254,12,168601,8B-BOB,GILL,NONE,O10T15M,2004
94504,BOB,FRA,,,10699,14,94504,8A-BOB,LONGLINE,NONE,O10T15M,2004
44868,BOB,FRA,,,7606,7,44868,8B-BOB,LONGLINE,NONE,O10T15M,2004
103586,BOB,FRA,,,19301,41,103586,8A-BOB,NONE,NONE,O10T15M,2004
75689,BOB,FRA,,,51452,76,75689,8B-BOB,NONE,NONE,O10T15M,2004
3373011,BOB,FRA,,,508984,118,3373011,8A-BOB,OTTER,NONE,O10T15M,2004
440028,BOB,FRA,,,97723,30,440028,8B-BOB,OTTER,NONE,O10T15M,2004
86289,BOB,FRA,,,14364,9,86289,8A-BOB,PEL_SEINE,NONE,O10T15M,2004
13120,BOB,FRA,,,3614,5,13120,8B-BOB,PEL_SEINE,NONE,O10T15M,2004
158667,BOB,FRA,,,13819,6,158667,8A-BOB,PEL_TRAWL,NONE,O10T15M,2004
159099,BOB,FRA,,,19208,9,159099,8A-BOB,POTS,NONE,O10T15M,2004
31421,BOB,FRA,,,4746,4,31421,8B-BOB,POTS,NONE,O10T15M,2004
535534,BOB,FRA,,,62852,29,535534,8A-BOB,TRAMMEL,NONE,O10T15M,2004
214985,BOB,FRA,,,33531,15,214985,8B-BOB,TRAMMEL,NONE,O10T15M,2004
35522,BOB,FRA,,,4350,1,35522,8A-BOB,BEAM,NONE,O10T15M,2005
420148,BOB,FRA,,,60998,136,420148,8A-BOB,DREDGE,NONE,O10T15M,2005
52315,BOB,FRA,,,7562,28,52315,8B-BOB,DREDGE,NONE,O10T15M,2005
856168,BOB,FRA,,,98271,18,856168,8A-BOB,GILL,NONE,O10T15M,2005
647834,BOB,FRA,,,68800,21,647834,8B-BOB,GILL,NONE,O10T15M,2005
254618,BOB,FRA,,,26412,18,254618,8A-BOB,LONGLINE,NONE,O10T15M,2005
217248,BOB,FRA,,,25575,23,217248,8B-BOB,LONGLINE,NONE,O10T15M,2005
73892,BOB,FRA,,,16590,40,73892,8A-BOB,NONE,NONE,O10T15M,2005
110933,BOB,FRA,,,65074,93,110933,8B-BOB,NONE,NONE,O10T15M,2005
4170591,BOB,FRA,,,594777,157,4170591,8A-BOB,OTTER,NONE,O10T15M,2005
1246272,BOB,FRA,,,200063,58,1246272,8B-BOB,OTTER,NONE,O10T15M,2005
128177,BOB,FRA,,,21905,5,128177,8A-BOB,PEL_SEINE,NONE,O10T15M,2005
38226,BOB,FRA,,,5445,3,38226,8B-BOB,PEL_SEINE,NONE,O10T15M,2005
270899,BOB,FRA,,,26720,4,270899,8A-BOB,PEL_TRAWL,NONE,O10T15M,2005
131920,BOB,FRA,,,21504,3,131920,8B-BOB,PEL_TRAWL,NONE,O10T15M,2005
54722,BOB,FRA,,,10699,5,54722,8A-BOB,POTS,NONE,O10T15M,2005
2981,BOB,FRA,,,2106,2,2981,8B-BOB,POTS,NONE,O10T15M,2005
801167,BOB,FRA,,,97666,29,801167,8A-BOB,TRAMMEL,NONE,O10T15M,2005
691688,BOB,FRA,,,67765,27,691688,8B-BOB,TRAMMEL,NONE,O10T15M,2005
1804,BOB,ENG,,205,354.99,1,1804,8A-BOB,GILL,NONE,O10T15M,2006
4104,BOB,FRA,,,1044,1,4104,8A-BOB,BEAM,NONE,O10T15M,2006
533612,BOB,FRA,,,63565,80,533612,8A-BOB,DREDGE,NONE,O10T15M,2006
64803,BOB,FRA,,,7898,19,64803,8B-BOB,DREDGE,NONE,O10T15M,2006
